t,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
26.0,0.0005704488,0.0009420608,0.001358178,0.001775735,0.002209931,0.002649282,0.003091699,0.003536285,0.003982371,0.004429568,0.004877604,0.005326286,0.005775474,0.006225079,0.006675046,0.007125349,0.007575898,0.008026655,0.008477604,0.00892875
27.0,0.0005682721,0.0009385102,0.001353698,0.001770722,0.002204451,0.002643421,0.003085502,0.003529787,0.003975591,0.004422527,0.004870316,0.005318763,0.005767725,0.00621711,0.006666864,0.007116961,0.007567305,0.008017862,0.008468614,0.008919567
28.0,0.0005661629,0.0009350559,0.001349334,0.001765832,0.002199105,0.002637702,0.003079453,0.003523443,0.003968972,0.004415653,0.0048632,0.005311418,0.005760159,0.006209331,0.006658876,0.007108771,0.007558916,0.008009277,0.008459838,0.008910601
29.0,0.0005641165,0.0009316917,0.00134508,0.001761059,0.00219389,0.002632114,0.003073543,0.003517244,0.003962503,0.004408935,0.004856246,0.00530424,0.005752765,0.006201728,0.00665107,0.007100767,0.007550717,0.008000887,0.00845126,0.008901839
30.0,0.0005621286,0.000928412,0.001340928,0.001756393,0.002188789,0.002626651,0.003067762,0.003511181,0.003956176,0.004402364,0.004849443,0.005297218,0.005745533,0.006194291,0.006643434,0.007092938,0.007542698,0.007992682,0.008442871,0.008893267
31.0,0.0005601952,0.0009252147,0.001336872,0.001751831,0.002183803,0.002621304,0.003062107,0.003505246,0.003949982,0.004395932,0.004842784,0.005290344,0.005738453,0.006187012,0.00663596,0.007085274,0.007534848,0.00798465,0.008434659,0.008884877
32.0,0.000558313,0.0009220899,0.001332906,0.001747364,0.002178922,0.002616068,0.003056571,0.003499432,0.003943915,0.00438963,0.00483626,0.005283611,0.005731518,0.00617988,0.006628638,0.007077767,0.007527159,0.007976781,0.008426614,0.008876657
33.0,0.0005564788,0.0009190343,0.001329025,0.00174299,0.002174138,0.002610937,0.003051144,0.003493733,0.003937967,0.004383452,0.004829864,0.00527701,0.005724719,0.00617289,0.00662146,0.007070409,0.007519622,0.007969068,0.008418728,0.0088686
34.0,0.00055469,0.0009160449,0.001325225,0.001738701,0.002169445,0.002605904,0.003045822,0.003488144,0.003932133,0.004377392,0.00482359,0.005270534,0.00571805,0.006166032,0.00661442,0.007063191,0.007512228,0.007961503,0.008410992,0.008860695
35.0,0.000552944,0.0009131182,0.001321502,0.001734495,0.00216484,0.002600965,0.003040599,0.003482658,0.003926407,0.004371444,0.004817432,0.005264179,0.005711503,0.006159302,0.00660751,0.007056103,0.007504971,0.007954077,0.008403399,0.008852937
36.0,0.0005512384,0.0009102511,0.001317852,0.001730367,0.002160319,0.002596116,0.003035469,0.003477271,0.003920783,0.004365602,0.004811384,0.005257937,0.005705075,0.006152692,0.006600725,0.007049135,0.007497845,0.007946784,0.008395943,0.008845318
37.0,0.0005495713,0.0009074407,0.00131427,0.001726314,0.002155878,0.002591352,0.00303043,0.003471978,0.003915258,0.004359862,0.004805442,0.005251804,0.005698758,0.006146198,0.006594058,0.007042295,0.007490843,0.007939619,0.008388616,0.008837831
38.0,0.0005479407,0.0009046844,0.001310755,0.001722332,0.002151514,0.00258667,0.003025476,0.003466775,0.003909825,0.004354219,0.004799599,0.005245774,0.005692548,0.006139813,0.006587504,0.007035573,0.007483959,0.007932575,0.008381413,0.008830469
39.0,0.000546345,0.0009019798,0.001307302,0.001718417,0.002147224,0.002582066,0.003020605,0.003461658,0.003904482,0.004348668,0.004793853,0.005239844,0.005686441,0.006133535,0.006581058,0.007028962,0.007477189,0.007925647,0.008374329,0.008823227
40.0,0.0005447825,0.0008993245,0.00130391,0.001714568,0.002143003,0.002577536,0.003015812,0.003456624,0.003899225,0.004343207,0.004788199,0.005234008,0.005680431,0.006127357,0.006574716,0.007022458,0.007470528,0.00791883,0.008367357,0.0088161
41.0,0.0005432517,0.0008967166,0.001300575,0.001710782,0.00213885,0.002573078,0.003011094,0.003451669,0.00389405,0.004337831,0.004782633,0.005228264,0.005674516,0.006121275,0.006568473,0.007016056,0.007463971,0.007912119,0.008360494,0.008809082
42.0,0.0005417513,0.0008941541,0.001297295,0.001707055,0.002134761,0.002568689,0.003006448,0.003446789,0.003888954,0.004332536,0.004777151,0.005222607,0.00566869,0.006115286,0.006562324,0.007009751,0.007457513,0.00790551,0.008353734,0.008802168
43.0,0.00054028,0.0008916362,0.001294069,0.001703385,0.002130734,0.002564365,0.003001872,0.003441982,0.003883933,0.00432732,0.004771751,0.005217034,0.005662951,0.006109386,0.006556267,0.007003541,0.007451151,0.007898999,0.008347073,0.008795354
44.0,0.0005388368,0.000889161,0.001290894,0.001699772,0.002126766,0.002560105,0.002997363,0.003437245,0.003878985,0.00432218,0.004766429,0.005211542,0.005657295,0.006103572,0.006550298,0.00699742,0.007444882,0.007892582,0.008340508,0.008788635
45.0,0.0005374204,0.0008867261,0.001287767,0.001696211,0.002122856,0.002555906,0.002992918,0.003432575,0.003874107,0.004317112,0.004761182,0.005206127,0.005651719,0.00609784,0.006544414,0.006991387,0.007438701,0.007886255,0.008334034,0.008782006
46.0,0.0005360298,0.00088433,0.001284688,0.001692701,0.002119001,0.002551766,0.002988535,0.00342797,0.003869296,0.004312114,0.004756007,0.005200787,0.005646221,0.006092187,0.006538611,0.006985437,0.007432605,0.007880014,0.008327647,0.008775462
47.0,0.0005346642,0.0008819712,0.001281654,0.001689242,0.002115199,0.002547682,0.002984211,0.003423428,0.003864551,0.004307184,0.004750903,0.005195519,0.005640796,0.00608661,0.006532886,0.006979567,0.00742659,0.007873857,0.008321345,0.008768997
48.0,0.0005333225,0.0008796484,0.001278665,0.00168583,0.002111448,0.002543653,0.002979945,0.003418946,0.003859868,0.004302318,0.004745865,0.00519032,0.005635443,0.006081106,0.006527237,0.006973774,0.007420655,0.007867781,0.008315124,0.008762605
